Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2014,123961,University of Southern California,1,University Park Campus,42453,3,1,0
2014,123961,University of Southern California,2,Health Sciences Campus,42453,0,1,0
