Year,State,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,total number 
2007,Michigan,10071822,53765,661,4592,0,13365,35147,308550,75273,191289,41988,362315
2007,Minnesota,5197621,15054,116,1873,0,4770,8295,158257,29717,115892,12648,173311
2007,Mississippi,2918785,8502,202,1033,0,2896,4371,90887,27223,56473,7191,99389
2007,Missouri,5878415,32962,367,1785,0,7728,23082,225113,44897,156319,23897,258075
2007,Montana,957861,3638,27,363,0,233,3015,27837,3476,22315,2046,31475
2007,Nebraska,1774571,5524,71,550,0,1115,3788,55765,9035,41484,5246,61289
2007,Nevada,2565382,19365,193,1096,0,6938,11138,97118,24911,49844,22363,116483
2007,New Hampshire,1315828,1896,12,357,0,451,1076,26394,5074,19909,1411,28290
2007,New Jersey,8685920,28544,381,1032,0,12567,14564,192338,37234,133145,21959,220882
2007,New Mexico,1969915,13311,183,1028,0,2323,9777,75168,20823,45442,8903,88479
2007,New York,19297729,79962,805,2928,0,31085,45144,383624,64914,290681,28029,463586
2007,North Carolina,9061032,42231,584,2386,0,13534,25727,369893,108700,233241,27952,412124
2007,North Dakota,639715,1343,17,252,0,75,999,12796,2314,9500,982,14139
2007,Ohio,11466917,40759,529,4661,0,18351,17218,397681,99049,264677,33955,438440
2007,Oklahoma,3617316,18234,224,1565,0,3392,13053,128714,34367,80747,13600,146948
2007,Oregon,3747455,11015,76,1276,0,2864,6799,132773,22979,95157,14637,143788
2007,Pennsylvania,12432792,51806,725,3443,0,19440,28198,293850,56091,211248,26511,345656
2007,Rhode Island,1057832,2424,19,258,0,760,1387,27576,5206,19175,3195,30000
2007,South Carolina,4407709,34630,364,1773,0,6354,26139,189304,45398,126802,17104,223934
2007,South Dakota,796214,1926,31,433,0,118,1344,13829,2647,10398,784,15755
2007,Tennessee,6156719,46482,405,2201,0,11033,32843,252342,61817,168807,21718,298824
2007,Texas,23904380,122014,1419,8460,0,38778,73357,985421,228320,663101,94000,1107435
2007,Utah,2645330,6347,59,935,0,1425,3928,93082,15594,68573,8915,99429
2007,Vermont,621254,802,13,128,0,79,582,14702,3200,10853,649,15504
2007,Virginia,7712091,21035,415,1793,0,7696,11131,191763,32028,145634,14101,212798
2007,Washington,6468424,21768,174,2653,0,6079,12862,261776,52874,170782,38120,283544
2007,West Virginia,1812035,5016,65,388,0,847,3716,45620,10822,31321,3477,50636
2007,Wisconsin,5601640,16330,185,1227,0,5480,9438,159305,27890,117957,13458,175635
2007,Wyoming,522830,1344,21,172,0,84,1067,15053,2365,11875,813,16397
2008,Alabama,4661900,21110,351,1618,0,7346,11795,190416,50411,126539,13466,423052
2008, Alaska,686293,4475,27,447,0,645,3356,20090,3237,15225,1628,24565
2008,Arizona,6500180,31567,462,2200,0,9809,19096,266653,58606,169460,38587,298220
2008,Arkansas,2855390,14649,165,1463,0,2777,10244,110360,33912,69905,6543,125009
2008,California,36756666,185329,2142,8903,0,69388,104896,1080996,237811,650656,192529,1266325
2008, Colorado,4939456,17480,165,2151,0,3404,11760,139340,28054,97937,13349,156820
2008,Connecticut,3501252,10737,132,680,0,4043,5882,87210,15107,63212,8891,97947
2008,Delaware,873092,6187,57,371,0,1847,3912,31385,6783,22045,2557,37572
2008,Florida,18328340,126256,1168,5972,0,36268,82848,758889,188472,506902,63515,885145
2008,Georgia,9685744,47353,640,2334,0,17808,26571,387917,100564,247709,39644,435270
2008,Hawaii,1288198,3510,26,363,0,1085,2036,45944,9404,31424,5116,49454
2008,Idaho,1523816,3680,23,579,0,239,2839,31940,6748,23532,1660,35620
2008,Illinois,12901563,67780,790,4118,0,24054,38818,378355,78968,266815,32572,446135
2008,Indiana,6376792,21525,322,1711,0,7580,11912,213639,48805,147334,17500,235164
2008,Iowa,3002555,8651,77,937,0,1249,6388,73273,16598,52299,4376,81924
2008,Kansas,2802134,11554,113,1226,0,1681,8534,94882,19651,67826,7405,106436
2008,Kentucky,4269245,12690,201,1457,0,4080,6952,114492,29556,77279,7657,127182
2008,Louisiana,4410796,29613,544,1250,0,6241,21578,171179,45524,112091,13564,200792
2008,Maine,1316456,1572,31,379,0,333,829,32433,6559,24695,1179,34005
2008,Maryland,5633597,35393,493,1127,0,13203,20570,198165,38849,133983,25333,233558
2008,Massachusetts,6497967,30137,166,1751,0,7077,21143,155919,36251,106913,12755,186056
2008,Michigan,10003422,51512,554,4507,0,13246,33205,295100,74787,184558,35755,346612
2008,Minnesota,5220393,13853,110,1805,0,4179,7759,149517,26558,112764,10195,163370
2008,Mississippi,2938618,8942,236,958,0,3079,4669,85488,25506,53730,6252,94430
2008,Missouri,5911605,29701,456,1612,0,7395,20238,216522,45763,150002,20757,246223
2008,Montana,967440,3013,40,358,0,204,2411,26300,3689,20834,1777,29313
2008,Nebraska,1783432,5570,69,601,0,1297,3603,51350,8731,38394,4225,56920
2008,Nevada,2600167,18973,165,1106,0,6486,11216,90006,24254,49814,15938,108979
2008,New Hampshire,1315809,2054,14,385,0,421,1234,28387,4266,22714,1407,30441
2008,New Jersey,8682661,28351,376,1122,0,12701,14152,199127,40402,138545,20180,227478
2008,New Mexico,1984356,12967,161,1118,0,2151,9537,75718,20706,46995,8017,88685
2008,New York,19490297,77546,836,2798,0,31787,42125,388599,65544,297962,25093,466145
2008,North Carolina,9222414,43125,599,2296,0,14323,25907,372763,111556,234480,26727,415888
2008,North Dakota,641481,1441,11,331,0,73,1026,13029,2336,9782,911,14470
2008,Ohio,11485910,40436,547,4531,0,18706,16652,391667,102428,260788,28451,432103
2008,Oklahoma,3642361,19359,215,1471,0,3698,13975,126535,35247,80265,11023,145894
2008,Oregon,3790060,9909,87,1183,0,2656,5983,125169,21115,92677,11377,135078
2008,Pennsylvania,12448279,51044,705,3485,0,18873,27981,300294,58687,219115,22492,351338
2008,Rhode Island,1050788,2656,31,282,0,880,1463,29895,5766,20926,3203,32551
2008,South Carolina,4479800,32746,307,1686,0,6595,24158,189950,45964,126316,17670,222696
2008,South Dakota,804194,2227,37,562,0,134,1494,13867,2683,10266,918,16094
2008,Tennessee,6214888,44913,412,2078,0,10804,31619,251089,65093,166793,19203,296002
2008,Texas,24326974,123585,1370,8055,0,37739,76421,969865,230046,654435,85384,1093450
2008,Utah,2736424,6165,41,915,0,1421,3788,92373,14766,70299,7308,98538
2008,Vermont,621270,854,17,133,0,93,611,15903,3515,11802,586,16757
2008,Virginia,7769089,20031,370,1794,0,7470,10397,196726,32188,151191,13347,216757
2008,Washington,6549224,21888,193,2653,0,6419,12623,249283,53136,167013,29134,271171
2008,West Virginia,1814468,5006,67,389,0,896,3654,45971,10840,31967,3164,50977
2008,Wisconsin,5627967,15507,146,1128,0,5163,9070,155456,27459,116456,11541,170963
2008,Wyoming,532668,1330,12,185,0,87,1046,14515,2198,11584,733,15845
2009,Alabama,4708708,21194,322,1504,0,6265,13103,178007,48844,118072,11091,398402
2009, Alaska,698473,4424,22,513,0,654,3235,20538,3600,15251,1687,24962
2009,Arizona,6595778,28128,380,2279,0,8199,17270,236721,54308,155976,26437,264849
2009,Arkansas,2889450,14905,179,1378,0,2576,10772,109078,34753,68228,6097,123983
2009,California,36961664,174934,1972,8713,0,64093,100156,1009433,230198,615402,163833,1184367
2009, Colorado,5024748,17022,159,2269,0,3371,11223,134196,26637,95079,12480,151218
2009,Connecticut,3518288,10588,106,657,0,4001,5824,82625,15172,59992,7461,93213
2009,Delaware,885122,5713,41,395,0,1680,3597,29685,6943,20836,1906,35398
2009,Florida,18537969,113541,1017,5501,0,30911,76112,712010,181884,479867,50259,825551
2009,Georgia,9829211,42073,566,2323,0,14631,24553,360985,98606,229216,33163,403058
2009,Hawaii,1295178,3550,23,385,0,1030,2112,47516,9244,33415,4857,51066
2009,Idaho,1545801,3805,24,575,0,254,2952,31220,6682,23066,1472,35025
2009,Illinois,12910409,64185,773,3901,0,22923,36588,353347,77850,248821,26676,417532
2009,Indiana,6423113,21455,312,1621,0,7347,12175,199907,48880,137190,13837,221362
2009,Iowa,3007856,8485,38,890,0,1201,6356,70080,16419,49757,3904,78565
2009,Kansas,2818747,11460,125,1179,0,1786,8370,90930,19473,65499,5958,102390
2009,Kentucky,4314113,11000,184,1531,0,3642,5643,108914,29880,72938,6096,119914
2009,Louisiana,4492076,28878,529,1351,0,6150,20848,172619,46928,114102,11589,201497
2009,Maine,1318301,1580,26,375,0,399,780,31706,6729,23955,1022,33286
2009,Maryland,5699478,33625,440,1156,0,12007,20022,182295,36905,125771,19619,215920
2009,Massachusetts,6593587,30503,173,1734,0,7467,21129,153178,34515,106799,11864,183681
2009,Michigan,9969727,49825,623,4524,0,12427,32251,284019,76046,178628,29345,333844
2009,Minnesota,5266214,12874,74,1789,0,3619,7392,139286,25580,105160,8546,152160
2009,Mississippi,2951996,8451,194,991,0,2969,4297,87327,29559,52329,5439,95778
2009,Missouri,5987580,29513,387,1606,0,7437,20083,201783,43591,140764,17428,231296
2009,Montana,974989,2798,32,357,0,228,2181,24826,3686,19528,1612,27624
2009,Nebraska,1796619,5199,41,617,0,1220,3321,49731,8726,37496,3509,54930
2009,Nevada,2643085,18639,156,1024,0,6028,11431,80976,22115,46463,12398,99615
2009,New Hampshire,1324575,2125,11,399,0,454,1261,28790,4915,22748,1127,30915
2009,New Jersey,8707739,27113,319,1041,0,11639,14114,180752,36945,128303,15504,207865
2009,New Mexico,2009671,12709,198,1069,0,1932,9510,74639,21955,46182,6502,87348
2009,New York,19541453,75110,781,2582,0,28141,43606,377537,62769,292897,21871,452647
2009,North Carolina,9380884,37946,489,2306,0,11825,23326,343707,107830,215923,19954,381653
2009,North Dakota,646844,1723,12,296,0,107,1308,12813,2426,9474,913,14536
2009,Ohio,11542645,38305,527,4119,0,17670,15989,376446,104009,249777,22660,414751
2009,Oklahoma,3687050,18560,234,1535,0,3358,13433,132350,38071,83813,10466,150910
2009,Oregon,3825657,9968,88,1202,0,2499,6179,114780,19739,85064,9977,124748
2009,Pennsylvania,12604767,48188,664,3626,0,17504,26394,277182,54772,204588,17822,325370
2009,Rhode Island,1053209,2678,32,296,0,785,1565,27558,5753,19403,2402,30236
2009,South Carolina,4561242,30799,305,1663,0,5753,23078,178310,45443,119250,13617,209109
2009,South Dakota,812383,1777,30,501,0,117,1129,14378,2621,10891,866,16155
2009,Tennessee,6296254,41933,468,2019,0,9653,29793,237157,63832,158309,15016,279090
2009,Texas,24782302,121684,1330,8311,0,38022,74021,995082,240058,678455,76569,1116766
2009,Utah,2784572,5998,39,941,0,1304,3714,91751,15258,69556,6937,97749
2009,Vermont,621760,837,8,132,0,111,586,15010,3471,11090,449,15847
2009,Virginia,7882590,18195,370,1572,0,6342,9911,194020,31956,150374,11690,212215
2009,Washington,6664195,22412,190,2583,0,6711,12928,245215,53047,168421,23747,267627
2009,West Virginia,1819777,5554,84,470,0,914,4086,46215,12005,31453,2757,51769
2009,Wisconsin,5654774,14650,146,1118,0,4904,8482,147692,26813,111947,8932,162342
2009,Wyoming,544270,1196,11,172,0,78,935,14243,2176,11310,757,15439
2010,Alabama,4785401,18363,275,1355,0,4864,11869,168828,42484,115564,10780,374382
2010, Alaska,714146,4537,31,533,0,594,3379,20259,3105,15535,1619,24796
2010,Arizona,6413158,26528,408,2191,0,6953,16976,226802,50932,154137,21733,253330
2010,Arkansas,2921588,14711,134,1321,0,2369,10887,103820,32463,65796,5561,118531
2010,California,37338198,164133,1809,8331,0,58116,95877,981939,228857,600558,152524,1146072
2010, Colorado,5047692,16339,129,2230,0,3164,10816,135001,26196,97534,11271,151340
2010,Connecticut,3575498,10083,133,595,0,3553,5802,78259,15145,56413,6701,88342
2010,Delaware,899792,5608,51,326,0,1839,3392,31078,7550,21593,1935,36686
2010,Florida,18838613,101969,987,5373,0,26086,69523,669035,169119,458454,41462,771004
2010,Georgia,9712157,39068,555,2107,0,12372,24034,353449,96947,226161,30341,392517
2010,Hawaii,1363359,3603,25,377,0,1065,2136,45667,8706,31681,5280,49270
2010,Idaho,1571102,3464,22,533,0,213,2696,31436,6513,23594,1329,34900
2010,Illinois,12841980,57132,704,3066,0,20386,32976,349064,77472,242681,28911,406196
2010,Indiana,6490622,20983,268,1760,0,6559,12396,199274,48570,137204,13500,220257
2010,Iowa,3050202,8191,38,883,0,1012,6258,68740,16746,48194,3800,76931
2010,Kansas,2859143,10602,97,1146,0,1538,7821,89109,19315,63774,6020,99711
2010,Kentucky,4347223,10604,188,1438,0,3748,5230,111170,30443,74488,6239,121774
2010,Louisiana,4545343,25241,500,1230,0,5297,18214,165667,45437,110260,9970,190908
2010,Maine,1327379,1621,24,389,0,412,796,32900,7364,24547,989,34521
2010,Maryland,5785681,31607,426,1228,0,11054,18899,173309,36704,118578,18027,204916
2010,Massachusetts,6555466,30737,214,1784,0,6897,21842,154496,37903,105124,11469,185233
2010,Michigan,9877143,48693,580,4733,0,11522,31858,271501,74345,169748,27408,320194
2010,Minnesota,5310658,12515,96,1798,0,3388,7233,136431,24415,103429,8587,148946
2010,Mississippi,2970072,7999,204,931,0,2777,4087,88596,30453,52784,5359,96595
2010,Missouri,5995715,27440,420,1445,0,6185,19390,200858,44197,140526,16135,228298
2010,Montana,990958,2733,25,332,0,154,2222,25409,3692,20166,1551,28142
2010,Nebraska,1830141,5093,54,674,0,1020,3345,48827,8318,36896,3613,53920
2010,Nevada,2704283,17929,158,965,0,5298,11508,75004,22286,42533,10185,92933
2010,New Hampshire,1316807,2204,13,411,0,450,1330,29230,5444,22789,997,31434
2010,New Jersey,8799593,27055,371,981,0,11818,13885,183042,38732,128754,15556,210097
2010,New Mexico,2065913,12147,140,959,0,1616,9432,70776,21023,44503,5250,82923
2010,New York,19395206,76492,868,2797,0,28630,44197,379710,65839,293232,20639,456202
2010,North Carolina,9560234,34679,474,2002,0,9620,22583,329202,102826,208057,18319,363881
2010,North Dakota,674629,1548,10,245,0,90,1203,12010,2000,9137,873,13558
2010,Ohio,11537968,36306,479,3730,0,16486,15611,376836,107125,248581,21130,413142
2010,Oklahoma,3760184,18100,195,1469,0,3345,13091,129464,37848,81303,10313,147564
2010,Oregon,3838332,9648,96,1239,0,2421,5892,116657,20035,87494,9128,126305
2010,Pennsylvania,12717722,46612,653,3472,0,16375,26112,276366,55206,204440,16720,322978
2010,Rhode Island,1052528,2709,29,298,0,782,1600,26959,6124,18432,2403,29668
2010,South Carolina,4637106,27923,265,1551,0,5017,21090,181098,46261,121544,13293,209021
2010,South Dakota,816598,2196,23,385,0,154,1634,15188,3192,11196,800,17384
2010,Tennessee,6357436,38909,359,2173,0,8361,28016,232855,64293,153729,14833,271764
2010,Texas,25253466,113231,1249,7622,0,32843,71517,951246,228597,654626,68023,1064477
2010,Utah,2775479,5925,53,983,0,1269,3620,88316,15095,67242,5979,94241
2010,Vermont,625909,820,7,141,0,76,596,14160,3348,10373,439,14980
2010,Virginia,8023953,17184,376,1580,0,5678,9550,187403,30804,145990,10609,204587
2010,Washington,6742950,21138,154,2579,0,5929,12476,249426,55192,168490,25744,270564
2010,West Virginia,1854368,5586,58,362,0,776,4390,41301,10778,28104,2419,46887
2010,Wisconsin,5691659,14167,155,1191,0,4516,8305,142781,26636,107993,8152,156948
2010,Wyoming,564554,1117,8,162,0,77,870,13869,2151,11126,592,14986
2011,Alabama,4803689,20166,299,1370,0,4906,13591,173192,51119,111411,10662,386716
2011, Alaska,723860,4416,30,436,0,576,3374,19094,2852,14854,1388,23510
2011,Arizona,6467315,26789,397,2499,0,7145,16748,229896,54695,155400,19801,256685
2011,Arkansas,2938582,14173,160,1230,0,2357,10426,110430,34016,70645,5769,124603
2011,California,37683933,154943,1792,7665,0,54291,91195,973822,230075,596905,146842,1128765
2011, Colorado,5116302,16085,155,2285,0,3299,10346,132781,25725,96054,11002,148866
2011,Connecticut,3586717,9889,129,689,0,3689,5382,77205,15468,55067,6670,87094
2011,Delaware,908137,5144,48,307,0,1558,3231,31163,7617,22001,1545,36307
2011,Florida,19082262,98198,984,5273,0,25622,66319,671200,170171,461408,39621,769398
2011,Georgia,9812460,36762,549,2066,0,12266,21881,357235,96014,231543,29678,393997
2011,Hawaii,1378129,3465,20,353,0,994,2098,43874,8165,31240,4469,47339
2011,Idaho,1583744,3202,35,444,0,188,2535,32875,6915,24629,1331,36077
2011,Illinois,12859752,54523,781,3030,0,20217,30495,344468,77719,237362,29387,398991
2011,Indiana,6516353,21619,306,1758,0,6977,12578,206016,50571,140630,14815,227635
2011,Iowa,3064097,7883,44,866,0,824,6149,72043,17573,50472,3998,79926
2011,Kansas,2870386,10209,111,1122,0,1448,7528,88655,18712,63259,6684,98864
2011,Kentucky,4366814,10465,151,1499,0,3705,5110,119037,32750,79586,6701,129502
2011,Louisiana,4574766,25373,506,1262,0,5235,18370,168529,46242,113174,9113,193902
2011,Maine,1328544,1638,26,394,0,370,848,33829,7865,24886,1078,35467
2011,Maryland,5839572,28817,399,1200,0,10342,16876,166846,35823,114951,16072,195663
2011,Massachusetts,6607003,28232,184,1654,0,6768,19626,148829,36403,101644,10782,177061
2011,Michigan,9876801,43731,617,4344,0,10263,28507,251329,69755,156666,24908,295060
2011,Minnesota,5347299,12323,75,2113,0,3385,6750,136183,25681,102354,8148,148506
2011,Mississippi,2977457,8009,232,863,0,2496,4418,89809,30722,54179,4908,97818
2011,Missouri,6008984,26888,366,1469,0,6275,18778,199085,44875,138879,15331,225973
2011,Montana,997667,2755,29,366,0,171,2189,23885,3347,19089,1449,26640
2011,Nebraska,1842234,4672,68,699,0,993,2912,50894,8725,38060,4109,55566
2011,Nevada,2720028,15452,139,913,0,4308,10092,70075,20342,40156,9577,85527
2011,New Hampshire,1317807,2864,16,581,0,509,1758,32756,6244,25398,1114,35620
2011,New Jersey,8834773,27203,380,1006,0,12209,13608,189719,43238,129066,17415,216922
2011,New Mexico,2078674,11904,158,856,0,1720,9170,73549,21419,46730,5400,85453
2011,New York,19501616,77463,769,2751,0,28405,45538,371837,65227,287361,19249,449300
2011,North Carolina,9651103,33421,498,1959,0,9448,21516,337806,105534,215453,16819,371227
2011,North Dakota,684740,1699,24,266,0,91,1318,13334,2458,9891,985,15033
2011,Ohio,11541007,35218,500,3679,0,15991,15048,380572,112901,246744,20927,415790
2011,Oklahoma,3784163,17311,212,1410,0,3288,12401,127618,36462,80064,11092,144929
2011,Oregon,3868229,9643,84,1239,0,2237,6083,121869,20704,92059,9106,131512
2011,Pennsylvania,12743948,46189,639,3339,0,16165,26046,283442,57966,208604,16872,329631
2011,Rhode Island,1050646,2586,20,319,0,744,1503,27976,6836,18765,2375,30562
2011,South Carolina,4673348,27894,320,1678,0,4631,21265,183243,47351,122255,13637,211137
2011,South Dakota,823593,2105,20,503,0,167,1415,15299,2927,11423,949,17404
2011,Tennessee,6399787,38895,380,2095,0,8082,28338,230900,62830,153928,14142,269795
2011,Texas,25631778,104734,1130,7486,0,28620,67498,892810,215755,613131,63924,997544
2011,Utah,2814347,5547,50,901,0,1079,3517,84084,13170,64727,6187,89631
2011,Vermont,626592,925,11,146,0,99,669,15086,3838,10720,528,16011
2011,Virginia,8104384,16014,304,1591,0,5425,8694,182902,30656,142476,9770,198916
2011,Washington,6823267,20152,163,2320,0,5627,12042,244209,56561,162828,24820,264361
2011,West Virginia,1854908,5497,87,372,0,802,4236,39009,10245,26656,2108,44506
2011,Wisconsin,5709843,14268,138,1190,0,4600,8340,139912,27167,104472,8273,154180
2011,Wyoming,567356,1245,18,146,0,71,1010,12878,1864,10493,521,14123
2012,Alabama,4817528,21693,342,1296,0,5020,15035,168878,47481,111523,9874,381142
2012, Alaska,730307,4412,30,583,0,630,3169,20037,2950,15565,1522,24449
2012,Arizona,6551149,28077,358,2282,0,7383,18054,231701,52911,159808,18982,259778
2012,Arkansas,2949828,13851,174,1233,0,2310,10134,109389,32673,70982,5734,123240
2012,California,37999878,160944,1884,7837,0,56521,94702,1049465,245767,635090,168608,1210409
2012, Colorado,5189458,15951,152,2122,0,3392,10285,139355,26163,101091,12101,155306
2012,Connecticut,3591765,10183,117,933,0,3709,5424,77169,14787,55904,6478,87352
2012,Delaware,917053,5048,56,249,0,1498,3245,30707,7389,21880,1438,35755
2012,Florida,19320749,94087,1009,5260,0,23889,63929,632988,153563,442095,37330,727075
2012,Georgia,9915646,37675,583,2143,0,12502,22447,339473,86992,223875,28606,377148
2012,Hawaii,1390090,3378,21,279,0,1125,1953,43419,7653,31901,3865,46797
2012,Idaho,1595590,3348,30,495,0,243,2580,31825,7240,23203,1382,35173
2012,Illinois,12868192,53556,770,3581,0,19480,29725,332706,71100,235314,26292,386262
2012,Indiana,6537782,22544,307,1661,0,6601,13975,197994,47689,136668,13637,220538
2012,Iowa,3075039,8167,49,901,0,962,6255,70357,17201,49116,4040,78524
2012,Kansas,2885398,10292,85,1105,0,1493,7609,91066,18874,65413,6779,101358
2012,Kentucky,4379730,9852,201,1312,0,3547,4792,112800,29877,76199,6724,122652
2012,Louisiana,4602134,22839,489,1155,0,5458,15737,162673,42037,112764,7872,185512
2012,Maine,1328501,1626,26,372,0,420,808,33398,7476,24931,991,35024
2012,Maryland,5884868,28086,373,1237,0,10173,16303,162309,33803,113550,14956,190395
2012,Massachusetts,6645303,27047,121,1650,0,6555,18721,143325,34635,99453,9237,170372
2012,Michigan,9882519,44962,701,4635,0,10423,29203,249249,65560,158609,25080,294211
2012,Minnesota,5379646,12419,99,1638,0,3475,7207,138152,25378,104316,8458,150571
2012,Mississippi,2986450,7769,213,819,0,2277,4460,83933,28084,51520,4329,91702
2012,Missouri,6024522,27189,390,1527,0,5782,19490,199813,42510,140971,16332,227002
2012,Montana,1005494,2803,29,392,0,202,2180,26102,3920,20484,1698,28905
2012,Nebraska,1855350,4802,52,710,0,1128,2912,51203,8745,38301,4157,56005
2012,Nevada,2754354,16763,124,931,0,4918,10790,77510,22120,45372,10018,94273
2012,New Hampshire,1321617,2841,15,486,0,471,1869,32074,5988,25024,1062,34915
2012,New Jersey,8867749,25727,388,1035,0,11385,12919,181481,42338,122662,16481,207208
2012,New Mexico,2083540,11660,116,957,0,1847,8740,75094,21384,48247,5463,86754
2012,New York,19576125,79535,683,2837,0,28633,47382,375268,64389,293562,17317,454803
2012,North Carolina,9748364,34464,479,1984,0,9392,22609,328594,99323,213151,16120,363058
2012,North Dakota,701345,1723,25,279,0,127,1292,14297,2429,10687,1181,16020
2012,Ohio,11553031,34827,478,3813,0,15396,15140,370435,105312,245372,19751,405262
2012,Oklahoma,3815780,18102,220,1622,0,3248,13012,130969,36094,83131,11744,149071
2012,Oregon,3899801,9638,91,1159,0,2419,5969,126417,22051,94114,10252,136055
2012,Pennsylvania,12764475,45384,707,3371,0,15735,25571,276562,57040,204409,15113,321946
2012,Rhode Island,1050304,2657,36,292,0,715,1614,27039,5929,18478,2632,29696
2012,South Carolina,4723417,26474,332,1712,0,4511,19919,181049,45222,122340,13487,207523
2012,South Dakota,834047,2701,23,600,0,157,1921,17326,3280,12973,1073,20027
2012,Tennessee,6454914,41213,400,2047,0,8151,30615,217925,56231,148731,12963,259138
2012,Texas,26060796,106475,1148,7715,0,30385,67227,876459,205002,606425,65032,982934
2012,Utah,2854871,5939,52,975,0,1105,3807,86284,13095,67157,6032,92223
2012,Vermont,625953,891,8,131,0,114,638,15653,4179,11014,460,16544
2012,Virginia,8186628,15676,322,1505,0,4718,9131,178434,29651,139654,9129,194110
2012,Washington,6895318,20553,217,2250,0,5801,12285,254377,61376,166338,26663,274930
2012,West Virginia,1856680,5943,70,415,0,835,4623,44500,11466,30800,2234,50443
2012,Wisconsin,5724554,16254,169,1228,0,4692,10165,140780,27931,104619,8230,157034
2012,Wyoming,576626,1161,14,154,0,61,932,13222,2125,10513,584,14383
2013,Alabama,4833996,20834,346,1449,2055,4645,13788,161835,42410,108862,10563,366787
2013, Alaska,737259,4709,34,657,925,623,3127,21211,2917,16599,1695,25920
2013,Arizona,6634997,27576,355,2344,3174,6656,17391,223294,48292,158036,16966,250870
2013,Arkansas,2958765,13705,158,1135,1490,2261,9796,106477,30369,70430,5678,120182
2013,California,38431393,154739,1746,7464,10324,53640,89029,1018907,232058,621557,165292,1173646
2013, Colorado,5272086,16099,174,2198,2963,3136,9826,139974,25075,102375,12524,156073
2013,Connecticut,3599341,9439,91,647,891,3551,4906,71274,12934,52099,6241,80713
2013,Delaware,925240,4633,41,278,399,1233,2960,29001,6299,21347,1355,33634
2013,Florida,19600311,91993,972,4765,6767,23200,61054,607170,138915,433344,34911,699163
2013,Georgia,9994759,37519,563,2022,2891,12704,21361,339808,83459,229190,27159,377327
2013,Hawaii,1408987,3585,32,366,508,934,2111,45266,7777,32928,4561,48851
2013,Idaho,1612843,3471,29,516,674,220,2548,30230,6693,21999,1538,33701
2013,Illinois,12890552,51956,722,3895,5340,17733,28161,296048,59093,216059,20896,348004
2013,Indiana,6570713,23627,357,1623,2241,7114,13915,187472,42754,130534,14184,211099
2013,Iowa,3092341,8443,41,873,1133,937,6332,67976,15918,47803,4255,76419
2013,Kansas,2895801,9928,117,1003,1295,1339,7177,85704,17476,61557,6671,95632
2013,Kentucky,4399583,9280,172,951,1646,3247,4215,104448,26331,72048,6069,113728
2013,Louisiana,4629284,24127,494,1248,1763,5539,16331,165679,41214,115300,9165,189806
2013,Maine,1328702,1761,24,366,495,335,907,30454,6480,23063,911,32215
2013,Maryland,5938737,28235,384,1179,1679,10048,16124,157918,31950,112551,13417,186153
2013,Massachusetts,6708874,27264,138,1722,2303,6705,18118,137274,30716,97437,9121,164538
2013,Michigan,9898193,44757,625,4506,6785,10093,27254,230135,56256,149794,24085,274892
2013,Minnesota,5422060,12710,114,1453,2014,3674,6908,131193,22713,100514,7966,143903
2013,Mississippi,2992206,8303,217,726,1024,2413,4649,81548,24969,52192,4387,89851
2013,Missouri,6044917,26216,369,1679,2305,5486,18056,189655,38797,134514,16344,215871
2013,Montana,1014864,2924,23,382,467,217,2217,26195,4122,20192,1881,29119
2013,Nebraska,1868969,4949,56,621,847,1035,3011,49197,8945,35791,4461,54146
2013,Nevada,2791494,16888,163,1090,1482,5183,10060,79177,23047,46132,9998,96065
2013,New Hampshire,1322616,2952,21,522,778,647,1506,29278,4979,23355,944,32230
2013,New Jersey,8911502,25748,404,861,1189,12084,12071,167634,35883,118005,13746,193382
2013,New Mexico,2086895,12990,123,1135,1565,1832,9470,78958,21828,51146,5984,91948
2013,New York,19695680,77563,644,2575,3548,27241,46130,358603,56444,286676,15483,436166
2013,North Carolina,9848917,33587,463,1790,2524,9275,21325,305631,90182,201043,14406,339218
2013,North Dakota,723857,1979,16,288,355,161,1447,15356,2979,10942,1435,17335
2013,Ohio,11572005,33722,478,3594,4391,14483,14370,338414,91090,227799,19525,372136
2013,Oklahoma,3853118,17187,198,1715,2314,3023,11652,126418,33512,81624,11282,143605
2013,Oregon,3928068,9536,82,1000,1464,2394,5596,125083,20808,94363,9912,134619
2013,Pennsylvania,12781296,42825,611,2728,3795,14739,23680,263176,52000,197410,13766,306001
2013,Rhode Island,1053354,2710,31,333,449,683,1547,25741,5621,17881,2239,28451
2013,South Carolina,4771929,24263,305,1739,2233,3965,17760,173261,40930,119730,12601,197524
2013,South Dakota,845510,2733,18,454,507,156,2052,16274,3383,11955,936,19007
2013,Tennessee,6497269,38063,335,1904,2500,7333,27895,207683,51334,144443,11906,245746
2013,Texas,26505637,108757,1140,7610,10456,31810,65351,862289,191062,605440,65787,971046
2013,Utah,2902787,6644,51,926,1522,1247,3824,88334,13727,67115,7492,94978
2013,Vermont,626855,775,10,113,136,75,554,13882,3352,10193,337,14657
2013,Virginia,8270345,16355,320,1476,2350,4574,9111,171558,26717,136215,8626,187913
